filename	bytes	url
B_WT_T_IGO_14361_2_S33_L002_R1_001.fastq.gz	1221857339	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161225/B_WT_T_IGO_14361_2_S33_L002_R1_001.fastq.gz
B_WT_T_IGO_14361_2_S33_L002_R2_001.fastq.gz	2776793089	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161225/B_WT_T_IGO_14361_2_S33_L002_R2_001.fastq.gz
B_WT_T_IGO_14361_B_2_S3_L001_R1_001.fastq.gz	1672441809	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161226/B_WT_T_IGO_14361_B_2_S3_L001_R1_001.fastq.gz
B_WT_T_IGO_14361_B_2_S3_L001_R2_001.fastq.gz	3661113755	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161226/B_WT_T_IGO_14361_B_2_S3_L001_R2_001.fastq.gz
B_WT_T_IGO_14361_B_2_S3_L002_R1_001.fastq.gz	1773956659	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161227/B_WT_T_IGO_14361_B_2_S3_L002_R1_001.fastq.gz
B_WT_T_IGO_14361_B_2_S3_L002_R2_001.fastq.gz	3883699061	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161227/B_WT_T_IGO_14361_B_2_S3_L002_R2_001.fastq.gz
B_WT_T_IGO_14361_B_2_S3_L003_R1_001.fastq.gz	1764513615	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161228/B_WT_T_IGO_14361_B_2_S3_L003_R1_001.fastq.gz
B_WT_T_IGO_14361_B_2_S3_L003_R2_001.fastq.gz	3855474559	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161228/B_WT_T_IGO_14361_B_2_S3_L003_R2_001.fastq.gz
C_WT_LA_IGO_14361_18_S62_L003_R1_001.fastq.gz	409718489	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161325/C_WT_LA_IGO_14361_18_S62_L003_R1_001.fastq.gz
C_WT_LA_IGO_14361_18_S62_L003_R2_001.fastq.gz	428167189	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161325/C_WT_LA_IGO_14361_18_S62_L003_R2_001.fastq.gz
C_WT_LA_IGO_14361_18_S62_L004_R1_001.fastq.gz	410146019	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161326/C_WT_LA_IGO_14361_18_S62_L004_R1_001.fastq.gz
C_WT_LA_IGO_14361_18_S62_L004_R2_001.fastq.gz	425028918	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161326/C_WT_LA_IGO_14361_18_S62_L004_R2_001.fastq.gz
C_WT_T_IGO_14361_3_S12_L001_R1_001.fastq.gz	370471557	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161229/C_WT_T_IGO_14361_3_S12_L001_R1_001.fastq.gz
C_WT_T_IGO_14361_3_S12_L001_R2_001.fastq.gz	808649059	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161229/C_WT_T_IGO_14361_3_S12_L001_R2_001.fastq.gz
C_WT_T_IGO_14361_3_S12_L002_R1_001.fastq.gz	370742401	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161230/C_WT_T_IGO_14361_3_S12_L002_R1_001.fastq.gz
C_WT_T_IGO_14361_3_S12_L002_R2_001.fastq.gz	810895769	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161230/C_WT_T_IGO_14361_3_S12_L002_R2_001.fastq.gz
C_WT_T_IGO_14361_3_S19_L001_R1_001.fastq.gz	1136314793	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161231/C_WT_T_IGO_14361_3_S19_L001_R1_001.fastq.gz
