priority	sample	condition	pair_name	r1_filename	r1_bytes	r1_url	r2_filename	r2_bytes	r2_url	combined_bytes
21	C	WT	C_WT_T_IGO_14361_B_3_S4_L003	C_WT_T_IGO_14361_B_3_S4_L003_R1_001.fastq.gz	2517142272	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161235/C_WT_T_IGO_14361_B_3_S4_L003_R1_001.fastq.gz	C_WT_T_IGO_14361_B_3_S4_L003_R2_001.fastq.gz	5568651965	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161235/C_WT_T_IGO_14361_B_3_S4_L003_R2_001.fastq.gz	8085794237
22	C	WT	C_WT_T_IGO_14361_B_3_S4_L001	C_WT_T_IGO_14361_B_3_S4_L001_R1_001.fastq.gz	2407467333	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161233/C_WT_T_IGO_14361_B_3_S4_L001_R1_001.fastq.gz	C_WT_T_IGO_14361_B_3_S4_L001_R2_001.fastq.gz	5332279889	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161233/C_WT_T_IGO_14361_B_3_S4_L001_R2_001.fastq.gz	7739747222
23	E	WT	E_WT_2_T_IGO_14361_B_15_S15_L002	E_WT_2_T_IGO_14361_B_15_S15_L002_R1_001.fastq.gz	2396667767	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161257/E_WT_2_T_IGO_14361_B_15_S15_L002_R1_001.fastq.gz	E_WT_2_T_IGO_14361_B_15_S15_L002_R2_001.fastq.gz	5279365489	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161257/E_WT_2_T_IGO_14361_B_15_S15_L002_R2_001.fastq.gz	7676033256
24	E	WT	E_WT_2_T_IGO_14361_B_15_S15_L003	E_WT_2_T_IGO_14361_B_15_S15_L003_R1_001.fastq.gz	2384507697	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161258/E_WT_2_T_IGO_14361_B_15_S15_L003_R1_001.fastq.gz	E_WT_2_T_IGO_14361_B_15_S15_L003_R2_001.fastq.gz	5244515755	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161258/E_WT_2_T_IGO_14361_B_15_S15_L003_R2_001.fastq.gz	7629023452
25	E	WT	E_WT_2_T_IGO_14361_B_15_S15_L001	E_WT_2_T_IGO_14361_B_15_S15_L001_R1_001.fastq.gz	2374710100	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161256/E_WT_2_T_IGO_14361_B_15_S15_L001_R1_001.fastq.gz	E_WT_2_T_IGO_14361_B_15_S15_L001_R2_001.fastq.gz	5231660137	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161256/E_WT_2_T_IGO_14361_B_15_S15_L001_R2_001.fastq.gz	7606370237
26	J	PP	J_PP_T_IGO_14361_B_10_S11_L002	J_PP_T_IGO_14361_B_10_S11_L002_R1_001.fastq.gz	2314696029	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161299/J_PP_T_IGO_14361_B_10_S11_L002_R1_001.fastq.gz	J_PP_T_IGO_14361_B_10_S11_L002_R2_001.fastq.gz	5082386585	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161299/J_PP_T_IGO_14361_B_10_S11_L002_R2_001.fastq.gz	7397082614
27	J	PP	J_PP_T_IGO_14361_B_10_S11_L003	J_PP_T_IGO_14361_B_10_S11_L003_R1_001.fastq.gz	2313170964	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161300/J_PP_T_IGO_14361_B_10_S11_L003_R1_001.fastq.gz	J_PP_T_IGO_14361_B_10_S11_L003_R2_001.fastq.gz	5066986011	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161300/J_PP_T_IGO_14361_B_10_S11_L003_R2_001.fastq.gz	7380156975
28	J	PP	J_PP_T_IGO_14361_B_10_S11_L001	J_PP_T_IGO_14361_B_10_S11_L001_R1_001.fastq.gz	2268830753	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161298/J_PP_T_IGO_14361_B_10_S11_L001_R1_001.fastq.gz	J_PP_T_IGO_14361_B_10_S11_L001_R2_001.fastq.gz	4980986595	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161298/J_PP_T_IGO_14361_B_10_S11_L001_R2_001.fastq.gz	7249817348
29	A	WT	A_WT_T_IGO_14361_B_1_S2_L003	A_WT_T_IGO_14361_B_1_S2_L003_R1_001.fastq.gz	1937023457	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161221/A_WT_T_IGO_14361_B_1_S2_L003_R1_001.fastq.gz	A_WT_T_IGO_14361_B_1_S2_L003_R2_001.fastq.gz	4206243458	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161221/A_WT_T_IGO_14361_B_1_S2_L003_R2_001.fastq.gz	6143266915
30	A	WT	A_WT_T_IGO_14361_B_1_S2_L002	A_WT_T_IGO_14361_B_1_S2_L002_R1_001.fastq.gz	1934060816	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161220/A_WT_T_IGO_14361_B_1_S2_L002_R1_001.fastq.gz	A_WT_T_IGO_14361_B_1_S2_L002_R2_001.fastq.gz	4207663712	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161220/A_WT_T_IGO_14361_B_1_S2_L002_R2_001.fastq.gz	6141724528
31	A	WT	A_WT_T_IGO_14361_B_1_S2_L001	A_WT_T_IGO_14361_B_1_S2_L001_R1_001.fastq.gz	1913908852	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161219/A_WT_T_IGO_14361_B_1_S2_L001_R1_001.fastq.gz	A_WT_T_IGO_14361_B_1_S2_L001_R2_001.fastq.gz	4165319308	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161219/A_WT_T_IGO_14361_B_1_S2_L001_R2_001.fastq.gz	6079228160
32	B	WT	B_WT_T_IGO_14361_B_2_S3_L002	B_WT_T_IGO_14361_B_2_S3_L002_R1_001.fastq.gz	1773956659	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161227/B_WT_T_IGO_14361_B_2_S3_L002_R1_001.fastq.gz	B_WT_T_IGO_14361_B_2_S3_L002_R2_001.fastq.gz	3883699061	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161227/B_WT_T_IGO_14361_B_2_S3_L002_R2_001.fastq.gz	5657655720
33	B	WT	B_WT_T_IGO_14361_B_2_S3_L003	B_WT_T_IGO_14361_B_2_S3_L003_R1_001.fastq.gz	1764513615	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161228/B_WT_T_IGO_14361_B_2_S3_L003_R1_001.fastq.gz	B_WT_T_IGO_14361_B_2_S3_L003_R2_001.fastq.gz	3855474559	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161228/B_WT_T_IGO_14361_B_2_S3_L003_R2_001.fastq.gz	5619988174
34	E	WT	E_WT_1_T_IGO_14361_B_5_S6_L002	E_WT_1_T_IGO_14361_B_5_S6_L002_R1_001.fastq.gz	1741344982	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161250/E_WT_1_T_IGO_14361_B_5_S6_L002_R1_001.fastq.gz	E_WT_1_T_IGO_14361_B_5_S6_L002_R2_001.fastq.gz	3802240468	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161250/E_WT_1_T_IGO_14361_B_5_S6_L002_R2_001.fastq.gz	5543585450
35	E	WT	E_WT_1_T_IGO_14361_B_5_S6_L003	E_WT_1_T_IGO_14361_B_5_S6_L003_R1_001.fastq.gz	1737211680	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161251/E_WT_1_T_IGO_14361_B_5_S6_L003_R1_001.fastq.gz	E_WT_1_T_IGO_14361_B_5_S6_L003_R2_001.fastq.gz	3788457298	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161251/E_WT_1_T_IGO_14361_B_5_S6_L003_R2_001.fastq.gz	5525668978
36	E	WT	E_WT_1_T_IGO_14361_B_5_S6_L001	E_WT_1_T_IGO_14361_B_5_S6_L001_R1_001.fastq.gz	1695915369	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161249/E_WT_1_T_IGO_14361_B_5_S6_L001_R1_001.fastq.gz	E_WT_1_T_IGO_14361_B_5_S6_L001_R2_001.fastq.gz	3704399066	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161249/E_WT_1_T_IGO_14361_B_5_S6_L001_R2_001.fastq.gz	5400314435
37	B	WT	B_WT_T_IGO_14361_B_2_S3_L001	B_WT_T_IGO_14361_B_2_S3_L001_R1_001.fastq.gz	1672441809	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161226/B_WT_T_IGO_14361_B_2_S3_L001_R1_001.fastq.gz	B_WT_T_IGO_14361_B_2_S3_L001_R2_001.fastq.gz	3661113755	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161226/B_WT_T_IGO_14361_B_2_S3_L001_R2_001.fastq.gz	5333555564
38	G_2	ESC	G_ESC_2_T_IGO_14361_14_S37_L001	G_ESC_2_T_IGO_14361_14_S37_L001_R1_001.fastq.gz	1421222619	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161277/G_ESC_2_T_IGO_14361_14_S37_L001_R1_001.fastq.gz	G_ESC_2_T_IGO_14361_14_S37_L001_R2_001.fastq.gz	3257210729	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161277/G_ESC_2_T_IGO_14361_14_S37_L001_R2_001.fastq.gz	4678433348
39	G_2	ESC	G_ESC_2_T_IGO_14361_14_S37_L002	G_ESC_2_T_IGO_14361_14_S37_L002_R1_001.fastq.gz	1397013874	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161278/G_ESC_2_T_IGO_14361_14_S37_L002_R1_001.fastq.gz	G_ESC_2_T_IGO_14361_14_S37_L002_R2_001.fastq.gz	3200090739	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161278/G_ESC_2_T_IGO_14361_14_S37_L002_R2_001.fastq.gz	4597104613
40	L_2	3DEC	L_3DEC_2_T_IGO_14361_13_S24_L001	L_3DEC_2_T_IGO_14361_13_S24_L001_R1_001.fastq.gz	1296656864	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161316/L_3DEC_2_T_IGO_14361_13_S24_L001_R1_001.fastq.gz	L_3DEC_2_T_IGO_14361_13_S24_L001_R2_001.fastq.gz	2959803605	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161316/L_3DEC_2_T_IGO_14361_13_S24_L001_R2_001.fastq.gz	4256460469
41	E	WT	E_WT_2_T_IGO_14361_15_S59_L003	E_WT_2_T_IGO_14361_15_S59_L003_R1_001.fastq.gz	1303652105	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161254/E_WT_2_T_IGO_14361_15_S59_L003_R1_001.fastq.gz	E_WT_2_T_IGO_14361_15_S59_L003_R2_001.fastq.gz	2935572576	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161254/E_WT_2_T_IGO_14361_15_S59_L003_R2_001.fastq.gz	4239224681
42	E	WT	E_WT_2_T_IGO_14361_15_S59_L004	E_WT_2_T_IGO_14361_15_S59_L004_R1_001.fastq.gz	1304230499	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161255/E_WT_2_T_IGO_14361_15_S59_L004_R1_001.fastq.gz	E_WT_2_T_IGO_14361_15_S59_L004_R2_001.fastq.gz	2925009134	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161255/E_WT_2_T_IGO_14361_15_S59_L004_R2_001.fastq.gz	4229239633
43	L_2	3DEC	L_3DEC_2_T_IGO_14361_13_S24_L002	L_3DEC_2_T_IGO_14361_13_S24_L002_R1_001.fastq.gz	1269186671	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161317/L_3DEC_2_T_IGO_14361_13_S24_L002_R1_001.fastq.gz	L_3DEC_2_T_IGO_14361_13_S24_L002_R2_001.fastq.gz	2897626626	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161317/L_3DEC_2_T_IGO_14361_13_S24_L002_R2_001.fastq.gz	4166813297
44	A	WT	A_WT_T_IGO_14361_1_S32_L001	A_WT_T_IGO_14361_1_S32_L001_R1_001.fastq.gz	1261601968	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161217/A_WT_T_IGO_14361_1_S32_L001_R1_001.fastq.gz	A_WT_T_IGO_14361_1_S32_L001_R2_001.fastq.gz	2848789802	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161217/A_WT_T_IGO_14361_1_S32_L001_R2_001.fastq.gz	4110391770
45	B	WT	B_WT_T_IGO_14361_2_S33_L001	B_WT_T_IGO_14361_2_S33_L001_R1_001.fastq.gz	1246066168	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161224/B_WT_T_IGO_14361_2_S33_L001_R1_001.fastq.gz	B_WT_T_IGO_14361_2_S33_L001_R2_001.fastq.gz	2833099937	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161224/B_WT_T_IGO_14361_2_S33_L001_R2_001.fastq.gz	4079166105
46	F	WT	F_WT_T_IGO_14361_6_S58_L003	F_WT_T_IGO_14361_6_S58_L003_R1_001.fastq.gz	1258804824	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161261/F_WT_T_IGO_14361_6_S58_L003_R1_001.fastq.gz	F_WT_T_IGO_14361_6_S58_L003_R2_001.fastq.gz	2813672534	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161261/F_WT_T_IGO_14361_6_S58_L003_R2_001.fastq.gz	4072477358
47	F	WT	F_WT_T_IGO_14361_6_S58_L004	F_WT_T_IGO_14361_6_S58_L004_R1_001.fastq.gz	1259407211	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161262/F_WT_T_IGO_14361_6_S58_L004_R1_001.fastq.gz	F_WT_T_IGO_14361_6_S58_L004_R2_001.fastq.gz	2802157894	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161262/F_WT_T_IGO_14361_6_S58_L004_R2_001.fastq.gz	4061565105
48	G_1	ESC	G_ESC_1_T_IGO_14361_7_S46_L003	G_ESC_1_T_IGO_14361_7_S46_L003_R1_001.fastq.gz	1244041801	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161270/G_ESC_1_T_IGO_14361_7_S46_L003_R1_001.fastq.gz	G_ESC_1_T_IGO_14361_7_S46_L003_R2_001.fastq.gz	2794971478	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161270/G_ESC_1_T_IGO_14361_7_S46_L003_R2_001.fastq.gz	4039013279
49	G_1	ESC	G_ESC_1_T_IGO_14361_7_S46_L004	G_ESC_1_T_IGO_14361_7_S46_L004_R1_001.fastq.gz	1246205914	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161271/G_ESC_1_T_IGO_14361_7_S46_L004_R1_001.fastq.gz	G_ESC_1_T_IGO_14361_7_S46_L004_R2_001.fastq.gz	2786957134	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161271/G_ESC_1_T_IGO_14361_7_S46_L004_R2_001.fastq.gz	4033163048
50	A	WT	A_WT_T_IGO_14361_1_S32_L002	A_WT_T_IGO_14361_1_S32_L002_R1_001.fastq.gz	1237642495	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161218/A_WT_T_IGO_14361_1_S32_L002_R1_001.fastq.gz	A_WT_T_IGO_14361_1_S32_L002_R2_001.fastq.gz	2795501708	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161218/A_WT_T_IGO_14361_1_S32_L002_R2_001.fastq.gz	4033144203
51	B	WT	B_WT_T_IGO_14361_2_S33_L002	B_WT_T_IGO_14361_2_S33_L002_R1_001.fastq.gz	1221857339	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161225/B_WT_T_IGO_14361_2_S33_L002_R1_001.fastq.gz	B_WT_T_IGO_14361_2_S33_L002_R2_001.fastq.gz	2776793089	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161225/B_WT_T_IGO_14361_2_S33_L002_R2_001.fastq.gz	3998650428
52	E	WT	E_WT_1_T_IGO_14361_5_S35_L001	E_WT_1_T_IGO_14361_5_S35_L001_R1_001.fastq.gz	1192159240	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161247/E_WT_1_T_IGO_14361_5_S35_L001_R1_001.fastq.gz	E_WT_1_T_IGO_14361_5_S35_L001_R2_001.fastq.gz	2700313579	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161247/E_WT_1_T_IGO_14361_5_S35_L001_R2_001.fastq.gz	3892472819
53	H	DE	H_DE_T_IGO_14361_8_S20_L001	H_DE_T_IGO_14361_8_S20_L001_R1_001.fastq.gz	1171764532	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161282/H_DE_T_IGO_14361_8_S20_L001_R1_001.fastq.gz	H_DE_T_IGO_14361_8_S20_L001_R2_001.fastq.gz	2651471486	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161282/H_DE_T_IGO_14361_8_S20_L001_R2_001.fastq.gz	3823236018
54	E	WT	E_WT_1_T_IGO_14361_5_S35_L002	E_WT_1_T_IGO_14361_5_S35_L002_R1_001.fastq.gz	1167415414	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161248/E_WT_1_T_IGO_14361_5_S35_L002_R1_001.fastq.gz	E_WT_1_T_IGO_14361_5_S35_L002_R2_001.fastq.gz	2642923106	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161248/E_WT_1_T_IGO_14361_5_S35_L002_R2_001.fastq.gz	3810338520
55	H	DE	H_DE_T_IGO_14361_8_S20_L002	H_DE_T_IGO_14361_8_S20_L002_R1_001.fastq.gz	1153506781	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161283/H_DE_T_IGO_14361_8_S20_L002_R1_001.fastq.gz	H_DE_T_IGO_14361_8_S20_L002_R2_001.fastq.gz	2610249453	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161283/H_DE_T_IGO_14361_8_S20_L002_R2_001.fastq.gz	3763756234
56	C	WT	C_WT_T_IGO_14361_3_S19_L001	C_WT_T_IGO_14361_3_S19_L001_R1_001.fastq.gz	1136314793	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161231/C_WT_T_IGO_14361_3_S19_L001_R1_001.fastq.gz	C_WT_T_IGO_14361_3_S19_L001_R2_001.fastq.gz	2595865453	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161231/C_WT_T_IGO_14361_3_S19_L001_R2_001.fastq.gz	3732180246
57	C	WT	C_WT_T_IGO_14361_3_S19_L002	C_WT_T_IGO_14361_3_S19_L002_R1_001.fastq.gz	1111617409	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161232/C_WT_T_IGO_14361_3_S19_L002_R1_001.fastq.gz	C_WT_T_IGO_14361_3_S19_L002_R2_001.fastq.gz	2536411427	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161232/C_WT_T_IGO_14361_3_S19_L002_R2_001.fastq.gz	3648028836
58	D	WT	D_WT_T_IGO_14361_4_S34_L001	D_WT_T_IGO_14361_4_S34_L001_R1_001.fastq.gz	1107827558	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161238/D_WT_T_IGO_14361_4_S34_L001_R1_001.fastq.gz	D_WT_T_IGO_14361_4_S34_L001_R2_001.fastq.gz	2495020356	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161238/D_WT_T_IGO_14361_4_S34_L001_R2_001.fastq.gz	3602847914
59	L_1	3DEC	L_3DEC_1_T_IGO_14361_12_S36_L001	L_3DEC_1_T_IGO_14361_12_S36_L001_R1_001.fastq.gz	1102587914	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161305/L_3DEC_1_T_IGO_14361_12_S36_L001_R1_001.fastq.gz	L_3DEC_1_T_IGO_14361_12_S36_L001_R2_001.fastq.gz	2463531483	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161305/L_3DEC_1_T_IGO_14361_12_S36_L001_R2_001.fastq.gz	3566119397
60	I	PFG	I_PFG_T_IGO_14361_9_S21_L001	I_PFG_T_IGO_14361_9_S21_L001_R1_001.fastq.gz	1076363738	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161289/I_PFG_T_IGO_14361_9_S21_L001_R1_001.fastq.gz	I_PFG_T_IGO_14361_9_S21_L001_R2_001.fastq.gz	2453965527	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161289/I_PFG_T_IGO_14361_9_S21_L001_R2_001.fastq.gz	3530329265
61	D	WT	D_WT_T_IGO_14361_4_S34_L002	D_WT_T_IGO_14361_4_S34_L002_R1_001.fastq.gz	1082128351	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161239/D_WT_T_IGO_14361_4_S34_L002_R1_001.fastq.gz	D_WT_T_IGO_14361_4_S34_L002_R2_001.fastq.gz	2439083935	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161239/D_WT_T_IGO_14361_4_S34_L002_R2_001.fastq.gz	3521212286
62	L_1	3DEC	L_3DEC_1_T_IGO_14361_12_S36_L002	L_3DEC_1_T_IGO_14361_12_S36_L002_R1_001.fastq.gz	1077646084	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161306/L_3DEC_1_T_IGO_14361_12_S36_L002_R1_001.fastq.gz	L_3DEC_1_T_IGO_14361_12_S36_L002_R2_001.fastq.gz	2407747184	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161306/L_3DEC_1_T_IGO_14361_12_S36_L002_R2_001.fastq.gz	3485393268
63	I	PFG	I_PFG_T_IGO_14361_9_S21_L002	I_PFG_T_IGO_14361_9_S21_L002_R1_001.fastq.gz	1052500057	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161290/I_PFG_T_IGO_14361_9_S21_L002_R1_001.fastq.gz	I_PFG_T_IGO_14361_9_S21_L002_R2_001.fastq.gz	2399887530	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161290/I_PFG_T_IGO_14361_9_S21_L002_R2_001.fastq.gz	3452387587
64	J	PP	J_PP_T_IGO_14361_10_S22_L001	J_PP_T_IGO_14361_10_S22_L001_R1_001.fastq.gz	1052306107	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161296/J_PP_T_IGO_14361_10_S22_L001_R1_001.fastq.gz	J_PP_T_IGO_14361_10_S22_L001_R2_001.fastq.gz	2396455598	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161296/J_PP_T_IGO_14361_10_S22_L001_R2_001.fastq.gz	3448761705
65	J	PP	J_PP_T_IGO_14361_10_S22_L002	J_PP_T_IGO_14361_10_S22_L002_R1_001.fastq.gz	1028809735	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161297/J_PP_T_IGO_14361_10_S22_L002_R1_001.fastq.gz	J_PP_T_IGO_14361_10_S22_L002_R2_001.fastq.gz	2344185385	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161297/J_PP_T_IGO_14361_10_S22_L002_R2_001.fastq.gz	3372995120
66	F	WT	F_WT_T_IGO_14361_B_6_S17_L001	F_WT_T_IGO_14361_B_6_S17_L001_R1_001.fastq.gz	782460472	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161266/F_WT_T_IGO_14361_B_6_S17_L001_R1_001.fastq.gz	F_WT_T_IGO_14361_B_6_S17_L001_R2_001.fastq.gz	1739002374	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161266/F_WT_T_IGO_14361_B_6_S17_L001_R2_001.fastq.gz	2521462846
67	F	WT	F_WT_T_IGO_14361_B_6_S17_L002	F_WT_T_IGO_14361_B_6_S17_L002_R1_001.fastq.gz	776257054	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161267/F_WT_T_IGO_14361_B_6_S17_L002_R1_001.fastq.gz	F_WT_T_IGO_14361_B_6_S17_L002_R2_001.fastq.gz	1731010192	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161267/F_WT_T_IGO_14361_B_6_S17_L002_R2_001.fastq.gz	2507267246
68	G_1	ESC	G_ESC_1_T_IGO_14361_B_7_S8_L002	G_ESC_1_T_IGO_14361_B_7_S8_L002_R1_001.fastq.gz	743056032	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161273/G_ESC_1_T_IGO_14361_B_7_S8_L002_R1_001.fastq.gz	G_ESC_1_T_IGO_14361_B_7_S8_L002_R2_001.fastq.gz	1633796266	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161273/G_ESC_1_T_IGO_14361_B_7_S8_L002_R2_001.fastq.gz	2376852298
69	G_1	ESC	G_ESC_1_T_IGO_14361_B_7_S8_L003	G_ESC_1_T_IGO_14361_B_7_S8_L003_R1_001.fastq.gz	733793992	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161274/G_ESC_1_T_IGO_14361_B_7_S8_L003_R1_001.fastq.gz	G_ESC_1_T_IGO_14361_B_7_S8_L003_R2_001.fastq.gz	1609389738	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161274/G_ESC_1_T_IGO_14361_B_7_S8_L003_R2_001.fastq.gz	2343183730
70	G_1	ESC	G_ESC_1_T_IGO_14361_B_7_S8_L001	G_ESC_1_T_IGO_14361_B_7_S8_L001_R1_001.fastq.gz	708277567	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161272/G_ESC_1_T_IGO_14361_B_7_S8_L001_R1_001.fastq.gz	G_ESC_1_T_IGO_14361_B_7_S8_L001_R2_001.fastq.gz	1556843200	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161272/G_ESC_1_T_IGO_14361_B_7_S8_L001_R2_001.fastq.gz	2265120767
71	I	PFG	I_PFG_T_IGO_14361_9_S18_L001	I_PFG_T_IGO_14361_9_S18_L001_R1_001.fastq.gz	460801877	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161287/I_PFG_T_IGO_14361_9_S18_L001_R1_001.fastq.gz	I_PFG_T_IGO_14361_9_S18_L001_R2_001.fastq.gz	1006999797	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161287/I_PFG_T_IGO_14361_9_S18_L001_R2_001.fastq.gz	1467801674
72	I	PFG	I_PFG_T_IGO_14361_9_S18_L002	I_PFG_T_IGO_14361_9_S18_L002_R1_001.fastq.gz	456211060	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161288/I_PFG_T_IGO_14361_9_S18_L002_R1_001.fastq.gz	I_PFG_T_IGO_14361_9_S18_L002_R2_001.fastq.gz	998820440	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161288/I_PFG_T_IGO_14361_9_S18_L002_R2_001.fastq.gz	1455031500
