priority	sample	condition	pair_name	r1_filename	r1_bytes	r1_url	r2_filename	r2_bytes	r2_url	combined_bytes
112	E	WT	E_WT_LA_IGO_14361_20_S64_L003	E_WT_LA_IGO_14361_20_S64_L003_R1_001.fastq.gz	440118188	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161329/E_WT_LA_IGO_14361_20_S64_L003_R1_001.fastq.gz	E_WT_LA_IGO_14361_20_S64_L003_R2_001.fastq.gz	469735031	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161329/E_WT_LA_IGO_14361_20_S64_L003_R2_001.fastq.gz	909853219
113	D	WT	D_WT_LA_IGO_14361_19_S63_L004	D_WT_LA_IGO_14361_19_S63_L004_R1_001.fastq.gz	441823205	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161328/D_WT_LA_IGO_14361_19_S63_L004_R1_001.fastq.gz	D_WT_LA_IGO_14361_19_S63_L004_R2_001.fastq.gz	467084557	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161328/D_WT_LA_IGO_14361_19_S63_L004_R2_001.fastq.gz	908907762
114	E	WT	E_WT_LA_IGO_14361_20_S64_L004	E_WT_LA_IGO_14361_20_S64_L004_R1_001.fastq.gz	440203605	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161330/E_WT_LA_IGO_14361_20_S64_L004_R1_001.fastq.gz	E_WT_LA_IGO_14361_20_S64_L004_R2_001.fastq.gz	467045504	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161330/E_WT_LA_IGO_14361_20_S64_L004_R2_001.fastq.gz	907249109
115	C	WT	C_WT_LA_IGO_14361_18_S62_L003	C_WT_LA_IGO_14361_18_S62_L003_R1_001.fastq.gz	409718489	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161325/C_WT_LA_IGO_14361_18_S62_L003_R1_001.fastq.gz	C_WT_LA_IGO_14361_18_S62_L003_R2_001.fastq.gz	428167189	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161325/C_WT_LA_IGO_14361_18_S62_L003_R2_001.fastq.gz	837885678
116	C	WT	C_WT_LA_IGO_14361_18_S62_L004	C_WT_LA_IGO_14361_18_S62_L004_R1_001.fastq.gz	410146019	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161326/C_WT_LA_IGO_14361_18_S62_L004_R1_001.fastq.gz	C_WT_LA_IGO_14361_18_S62_L004_R2_001.fastq.gz	425028918	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161326/C_WT_LA_IGO_14361_18_S62_L004_R2_001.fastq.gz	835174937
117	G_1	ESC	G_ESC_1_T_IGO_14361_B_7_S35_L001	G_ESC_1_T_IGO_14361_B_7_S35_L001_R1_001.fastq.gz	253703103	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161275/G_ESC_1_T_IGO_14361_B_7_S35_L001_R1_001.fastq.gz	G_ESC_1_T_IGO_14361_B_7_S35_L001_R2_001.fastq.gz	564885906	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161275/G_ESC_1_T_IGO_14361_B_7_S35_L001_R2_001.fastq.gz	818589009
118	G_1	ESC	G_ESC_1_T_IGO_14361_B_7_S35_L002	G_ESC_1_T_IGO_14361_B_7_S35_L002_R1_001.fastq.gz	251850452	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161276/G_ESC_1_T_IGO_14361_B_7_S35_L002_R1_001.fastq.gz	G_ESC_1_T_IGO_14361_B_7_S35_L002_R2_001.fastq.gz	562874474	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161276/G_ESC_1_T_IGO_14361_B_7_S35_L002_R2_001.fastq.gz	814724926
119	G_1	ESC	G_ESC_1_T_IGO_14361_7_S16_L001	G_ESC_1_T_IGO_14361_7_S16_L001_R1_001.fastq.gz	248346183	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161268/G_ESC_1_T_IGO_14361_7_S16_L001_R1_001.fastq.gz	G_ESC_1_T_IGO_14361_7_S16_L001_R2_001.fastq.gz	535684572	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161268/G_ESC_1_T_IGO_14361_7_S16_L001_R2_001.fastq.gz	784030755
120	G_1	ESC	G_ESC_1_T_IGO_14361_7_S16_L002	G_ESC_1_T_IGO_14361_7_S16_L002_R1_001.fastq.gz	247710119	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161269/G_ESC_1_T_IGO_14361_7_S16_L002_R1_001.fastq.gz	G_ESC_1_T_IGO_14361_7_S16_L002_R2_001.fastq.gz	535808698	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161269/G_ESC_1_T_IGO_14361_7_S16_L002_R2_001.fastq.gz	783518817
121	B	WT	B_WT_T_IGO_14361_2_S11_L002	B_WT_T_IGO_14361_2_S11_L002_R1_001.fastq.gz	242197742	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161223/B_WT_T_IGO_14361_2_S11_L002_R1_001.fastq.gz	B_WT_T_IGO_14361_2_S11_L002_R2_001.fastq.gz	523922078	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161223/B_WT_T_IGO_14361_2_S11_L002_R2_001.fastq.gz	766119820
122	B	WT	B_WT_T_IGO_14361_2_S11_L001	B_WT_T_IGO_14361_2_S11_L001_R1_001.fastq.gz	240887858	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161222/B_WT_T_IGO_14361_2_S11_L001_R1_001.fastq.gz	B_WT_T_IGO_14361_2_S11_L001_R2_001.fastq.gz	520265559	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161222/B_WT_T_IGO_14361_2_S11_L001_R2_001.fastq.gz	761153417
123	A	WT	A_WT_T_IGO_14361_1_S10_L001	A_WT_T_IGO_14361_1_S10_L001_R1_001.fastq.gz	238727792	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161215/A_WT_T_IGO_14361_1_S10_L001_R1_001.fastq.gz	A_WT_T_IGO_14361_1_S10_L001_R2_001.fastq.gz	511212737	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161215/A_WT_T_IGO_14361_1_S10_L001_R2_001.fastq.gz	749940529
124	A	WT	A_WT_T_IGO_14361_1_S10_L002	A_WT_T_IGO_14361_1_S10_L002_R1_001.fastq.gz	237758524	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161216/A_WT_T_IGO_14361_1_S10_L002_R1_001.fastq.gz	A_WT_T_IGO_14361_1_S10_L002_R2_001.fastq.gz	509916225	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161216/A_WT_T_IGO_14361_1_S10_L002_R2_001.fastq.gz	747674749
125	F	WT	F_WT_T_IGO_14361_6_S15_L001	F_WT_T_IGO_14361_6_S15_L001_R1_001.fastq.gz	226187457	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161259/F_WT_T_IGO_14361_6_S15_L001_R1_001.fastq.gz	F_WT_T_IGO_14361_6_S15_L001_R2_001.fastq.gz	485516830	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161259/F_WT_T_IGO_14361_6_S15_L001_R2_001.fastq.gz	711704287
126	F	WT	F_WT_T_IGO_14361_6_S15_L002	F_WT_T_IGO_14361_6_S15_L002_R1_001.fastq.gz	225208557	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161260/F_WT_T_IGO_14361_6_S15_L002_R1_001.fastq.gz	F_WT_T_IGO_14361_6_S15_L002_R2_001.fastq.gz	484325530	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161260/F_WT_T_IGO_14361_6_S15_L002_R2_001.fastq.gz	709534087
127	L_2	3DEC	L_3DEC_2_T_IGO_14361_13_S21_L001	L_3DEC_2_T_IGO_14361_13_S21_L001_R1_001.fastq.gz	187732929	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161314/L_3DEC_2_T_IGO_14361_13_S21_L001_R1_001.fastq.gz	L_3DEC_2_T_IGO_14361_13_S21_L001_R2_001.fastq.gz	407694882	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161314/L_3DEC_2_T_IGO_14361_13_S21_L001_R2_001.fastq.gz	595427811
128	L_2	3DEC	L_3DEC_2_T_IGO_14361_13_S21_L002	L_3DEC_2_T_IGO_14361_13_S21_L002_R1_001.fastq.gz	186687148	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161315/L_3DEC_2_T_IGO_14361_13_S21_L002_R1_001.fastq.gz	L_3DEC_2_T_IGO_14361_13_S21_L002_R2_001.fastq.gz	406271340	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161315/L_3DEC_2_T_IGO_14361_13_S21_L002_R2_001.fastq.gz	592958488
129	E	WT	E_WT_2_T_IGO_14361_15_S22_L001	E_WT_2_T_IGO_14361_15_S22_L001_R1_001.fastq.gz	163544306	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161252/E_WT_2_T_IGO_14361_15_S22_L001_R1_001.fastq.gz	E_WT_2_T_IGO_14361_15_S22_L001_R2_001.fastq.gz	352924184	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161252/E_WT_2_T_IGO_14361_15_S22_L001_R2_001.fastq.gz	516468490
130	E	WT	E_WT_2_T_IGO_14361_15_S22_L002	E_WT_2_T_IGO_14361_15_S22_L002_R1_001.fastq.gz	162288826	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161253/E_WT_2_T_IGO_14361_15_S22_L002_R1_001.fastq.gz	E_WT_2_T_IGO_14361_15_S22_L002_R2_001.fastq.gz	350832930	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161253/E_WT_2_T_IGO_14361_15_S22_L002_R2_001.fastq.gz	513121756
